walkerId,totalWalks,firstWalk,lastWalk,signupTime,didDemandOrWalk,lifetime,averageLifetime,averageWalk,firstWalkAfterSignup,firstWalkinWeek,lastMonthWalks,activityTag,differentDistrictCount,activeLifeTime,totalActiveDayCount,walkFrequency,dailyWalkAverage,totalDemandCount,last30DaysDemandCount,weeklyAverageDemandCount
3fcd27a3-09fb-4c6d-981f-ede9b2cf4d36,,,,2020-08-21 16:58:50.170,Yes,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,4.0,0.0,NaN
54f3ee6f-ec65-40c0-a76d-903584eabb7a,23.0,2021-01-21 10:30:00.000,2021-02-26 08:00:00.000,2021-01-17 13:11:09.820,Yes,39.0,Less,Less,3.0,No,19.0,Active,1.0,35 days 21:30:00,0 days 20:16:19.928000,42.49661632990376,27.22940477551581,50.0,31.0,9.75043528728961
cefc0230-0895-4d1c-a0fb-94ae3fcf0bd3,,,,2020-09-14 11:28:36.389,Yes,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,10.0,0.0,NaN
e8220c30-3470-44af-b7e3-3f2a063e6ecf,5.0,2020-07-28 15:00:00.000,2020-09-25 12:00:00.000,2020-07-22 11:49:08.882,Yes,65.0,More,Less,6.0,No,0.0,NotActive,2.0,58 days 21:00:00,0 days 05:07:51.235000,275.3903569523099,23.387716089368144,52.0,2.0,6.182590233545647
5eb77e9a-707c-436b-967c-6ed1bd9913a8,16.0,2020-08-28 04:01:00.000,2020-11-14 08:43:38.021,2020-08-24 13:58:43.470,Yes,81.0,More,Less,3.0,No,0.0,NotActive,1.0,78 days 04:42:38.021000,0 days 11:57:27.576000,156.94630566422603,32.113306449589636,94.0,0.0,8.414723252962824
df6bf251-d829-456a-b359-32690783430d,,,,2020-03-09 15:28:02.532,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
f55e0d6a-ae08-4a54-b06b-c322d287780a,,,,2019-09-23 20:33:44.548,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
2381a7a9-9b08-4e5c-8400-2d61b951eb7d,1.0,2020-12-04 15:00:00.000,2020-12-04 15:00:00.000,2020-12-03 09:40:54.214,Yes,1.0,Less,Less,1.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:37:47.570000,0.0,38.10246210701323,4.0,0.0,NaN
873ac117-46d7-4f11-9b6c-8eaa03b5ea5a,3.0,2020-01-27 03:30:00.000,2020-01-30 03:30:00.000,2020-01-20 14:50:58.987,Yes,9.0,Less,Less,6.0,No,0.0,NotActive,1.0,3 days 00:00:00,0 days 02:11:46.991000,32.78111736816192,32.78111736816192,0.0,0.0,0.0
4b16aedb-f26a-4f78-a0f0-e920b02ce463,1.0,2020-09-03 09:00:00.000,2020-09-03 09:00:00.000,2020-09-01 11:42:20.216,Yes,1.0,Less,Less,1.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:49:29.227000,0.0,29.098482534343113,9.0,0.0,NaN
