yearMonth,walkerId,firstService,returnFromLoss,returnFromPassive,retained
2019-01,3997c24c-b208-4a7d-9398-0b0132e1eef3,0,0,0,1
2019-01,3997c24c-b208-4a7d-9398-0b0132e1eef3,0,0,0,1
2019-01,579a98a5-201e-4bd3-a58e-e1493497adaf,1,0,0,0
2019-01,579a98a5-201e-4bd3-a58e-e1493497adaf,0,0,0,1
2019-01,3997c24c-b208-4a7d-9398-0b0132e1eef3,1,0,0,0
2019-01,579a98a5-201e-4bd3-a58e-e1493497adaf,0,0,0,1
2019-01,45c76b03-4600-4d5e-938d-d1f6ded11a49,1,0,0,0
2019-01,9be3af8b-8464-46e3-bee0-82b478ebd06a,0,0,0,1
2019-01,5ee69b19-4137-4901-86e5-2a7dacf1a47f,1,0,0,0
2019-01,5ee69b19-4137-4901-86e5-2a7dacf1a47f,0,0,0,1
