walkerId,firstService,returnFromLoss,returnFromPassive,retained
e4b07704-52c6-4679-85b8-5babb4c7b328,2,0,0,2
7fa04473-22d6-4b4e-815f-2b0080ca02d9,1,0,9,16
b84d4eec-6d4b-47da-99fe-78316c59142c,6,0,0,9
fd661545-8847-463f-9abc-a9a4495914d2,10,0,0,10
cc51e129-167f-4173-964f-52ac3090470c,18,1,0,138
9be3af8b-8464-46e3-bee0-82b478ebd06a,7,1,0,7
188520a7-a1eb-48bf-8cf8-4ebdc4b03296,9,0,3,77
eb8ed6c4-b4fe-4aac-a270-4351c547ac7c,2,0,0,6
f1219a49-12ea-4380-8f4d-9c2883728720,8,4,0,8
50071ee6-d708-47a0-b2d4-8c5250898ce5,17,0,0,27
3fadb898-77f7-4f58-8eb6-3071c5b86534,6,0,0,7
8977dd34-91fe-4c47-88f8-19b957f0267f,3,1,7,25
5b15dbef-554c-4e9d-8e78-29b034cdcb25,11,0,0,59
9c5cd1b0-b252-4778-9d31-b18a19370b86,1,1,0,6
7b895763-c37b-4bb1-9488-7be18400f097,1,11,1,2
f2902429-b089-4cb8-9de2-b3c327cac630,1,0,0,1
490ab589-03c3-44b7-a9eb-953c2088fdd4,2,0,0,2
830e1b08-e678-464d-ba3c-c8949aae2bbd,5,7,1,21
753d3312-af63-497d-aaae-efeddd7bf5e6,3,0,0,3
cd92e363-34e2-428f-9bc9-306ce86522af,5,8,0,51
716ba0ca-bcdc-4d2b-b1f4-424c4130dc7f,1,0,3,3
fe9bd5c2-c7fe-44c5-8013-457d693a3ec1,22,0,0,57
cb0626ae-699d-4eb6-9193-f1ce0582f0b8,16,0,0,25
63fae537-1316-4f28-9152-4e15544fbba9,5,1,0,10
354529f1-be25-4258-8c8a-494a263ac836,21,0,0,27
e76c3555-9c42-4c97-a637-09a50644753e,14,0,0,30
698abaa1-922c-49de-9fd0-51a7f96a954d,8,0,0,8
464ca19d-fdaa-4bc7-8dcd-d59dfa0894cd,1,2,2,3
ac43f7aa-a0b6-4e11-8411-35618edfa8bf,8,0,2,12
aad3998b-0e7e-4350-8fbd-a2b41092a507,6,0,0,9
763f7537-680b-432d-a5a1-50b9a9644a2e,2,0,0,27
f0dbd389-eab9-4491-a7ae-14fa6b21cf89,8,0,0,8
1875d5c0-f050-4bf1-8878-c082d8ce64b9,1,0,0,56
bf4e267e-3c34-40f1-ab5f-7e303271c0f2,15,0,0,102
